Federal holidays 2013,Unnamed: 1,https://www.calendarpedia.com/
Date,Federal holiday,Day of the week
"January 1, 2013",New Year's Day,Tuesday
"January 21, 2013",Martin Luther King Day,Monday
"February 18, 2013",Presidents' Day,Monday
"May 27, 2013",Memorial Day,Monday
"July 4, 2013",Independence Day,Thursday
"September 2, 2013",Labor Day,Monday
"October 14, 2013",Columbus Day,Monday
"November 11, 2013",Veterans Day,Monday
"November 28, 2013",Thanksgiving Day,Thursday
"December 25, 2013",Christmas Day,Wednesday
© Calendarpedia®   www.calendarpedia.com,,Data provided 'as is' without warranty 
