year,month,day,dep_time,dep_delay,arr_time,arr_delay,carrier,tailnum,flight,origin,dest,air_time,distance,hour,minute
2013,1,1,629.0,-1.0,721.0,-19.0,WN,N273WN,4646,LGA,BWI,40.0,185,6.0,29.0
2013,1,1,848.0,853.0,1001.0,851.0,MQ,N942MQ,3944,JFK,BWI,41.0,184,8.0,48.0
2013,1,1,1059.0,-1.0,1201.0,-14.0,WN,N505SW,321,LGA,BWI,43.0,185,10.0,59.0
2013,1,1,1158.0,-2.0,1256.0,-4.0,WN,N783SW,1568,EWR,BWI,38.0,169,11.0,58.0
2013,1,1,1316.0,2.0,1412.0,-3.0,EV,N11551,4340,EWR,BWI,38.0,169,13.0,16.0
2013,1,1,1530.0,0.0,1650.0,-5.0,9E,N913XJ,3369,JFK,BWI,40.0,184,15.0,30.0
2013,1,1,1815.0,10.0,1928.0,8.0,WN,N266WN,731,LGA,BWI,46.0,185,18.0,15.0
2013,1,1,1957.0,-8.0,2100.0,-26.0,9E,N8598B,4091,JFK,BWI,41.0,184,19.0,57.0
2013,1,1,2158.0,-2.0,2254.0,-13.0,EV,N14998,4103,EWR,BWI,36.0,169,21.0,58.0
2013,1,2,628.0,13.0,730.0,15.0,WN,N961WN,3641,EWR,BWI,42.0,169,6.0,28.0
2013,1,2,630.0,0.0,727.0,-13.0,WN,N7735A,4648,LGA,BWI,42.0,185,6.0,30.0
2013,1,2,1003.0,103.0,1105.0,85.0,9E,N8968E,3694,JFK,BWI,39.0,184,10.0,3.0
2013,1,2,1101.0,1.0,1201.0,-14.0,WN,N701GS,3094,LGA,BWI,35.0,185,11.0,1.0
2013,1,2,1239.0,19.0,1328.0,8.0,WN,N941WN,1672,EWR,BWI,36.0,169,12.0,39.0
2013,1,2,1421.0,67.0,1515.0,60.0,EV,N16559,4340,EWR,BWI,37.0,169,14.0,21.0
2013,1,2,1524.0,-6.0,1658.0,3.0,9E,N915XJ,3369,JFK,BWI,41.0,184,15.0,24.0
2013,1,2,1810.0,-5.0,1923.0,-7.0,WN,N233LV,4844,LGA,BWI,40.0,185,18.0,10.0
2013,1,2,1829.0,67.0,1940.0,77.0,EV,N15986,4151,EWR,BWI,35.0,169,18.0,29.0
2013,1,2,1832.0,-3.0,1926.0,-24.0,MQ,N846MQ,3944,JFK,BWI,36.0,184,18.0,32.0
2013,1,2,1835.0,10.0,1942.0,2.0,WN,N461WN,2450,EWR,BWI,36.0,169,18.0,35.0
2013,1,2,2150.0,105.0,2255.0,89.0,9E,N8976E,4091,JFK,BWI,39.0,184,21.0,50.0
2013,1,2,2309.0,69.0,5.0,58.0,EV,N13123,4485,EWR,BWI,37.0,169,23.0,9.0
2013,1,3,603.0,-2.0,709.0,4.0,WN,N783SW,1036,EWR,BWI,39.0,169,6.0,3.0
2013,1,3,633.0,3.0,752.0,12.0,WN,N447WN,4646,LGA,BWI,43.0,185,6.0,33.0
2013,1,3,859.0,39.0,1011.0,32.0,9E,N8611A,4051,JFK,BWI,41.0,184,8.0,59.0
2013,1,3,1104.0,4.0,1158.0,-17.0,WN,N785SW,321,LGA,BWI,40.0,185,11.0,4.0
2013,1,3,1233.0,8.0,1327.0,2.0,WN,N619SW,831,EWR,BWI,35.0,169,12.0,33.0
2013,1,3,1403.0,34.0,1456.0,25.0,EV,N14542,4280,EWR,BWI,36.0,169,14.0,3.0
2013,1,3,1547.0,2.0,1658.0,-5.0,9E,N826AY,3635,JFK,BWI,39.0,184,15.0,47.0
2013,1,3,1707.0,-3.0,1805.0,-15.0,EV,N17115,4342,EWR,BWI,39.0,169,17.0,7.0
2013,1,3,1806.0,1.0,1911.0,-9.0,WN,N449WN,731,LGA,BWI,42.0,185,18.0,6.0
2013,1,3,1829.0,14.0,1941.0,11.0,WN,N257WN,2582,EWR,BWI,41.0,169,18.0,29.0
2013,1,3,1939.0,-1.0,2039.0,-27.0,9E,N826AY,4091,JFK,BWI,35.0,184,19.0,39.0
