Date,Max Temp,Min Temp,Precipitation,Snowfall,Snow Depth
2013-01-01,41,27,0,0,0
2013-01-02,35,23,0,0,0
2013-01-03,33,25,0,0,0
2013-01-04,39,30,0,0,0
2013-01-05,45,32,0,0,0
2013-01-06,45,33, T, T, T
2013-01-07,47,30,0,0,0
2013-01-08,49,30,0,0,0
2013-01-09,48,33,0,0,0
2013-01-10,50,37,0,0,0
2013-01-11,47,33,0.58,0,0
2013-01-12,49,43,0.06,0,0
2013-01-13,47,42,0.01,0,0
2013-01-14,58,39,0.03,0,0
2013-01-15,39,35,0.11,0,0
2013-01-16,38,33,0.82,0.1,0
2013-01-17,46,36,0,0,0
2013-01-18,36,25, T, T,0
2013-01-19,52,31,0,0,0
2013-01-20,56,31,0,0,0
2013-01-21,33,26,0.03,0.1,0
2013-01-22,28,14, T, T,0
2013-01-23,21,12,0,0,0
2013-01-24,26,13,0,0,0
2013-01-25,24,14,0.05,0.8,0
2013-01-26,27,14,0,0,1
2013-01-27,35,18,0,0,0
2013-01-28,35,24,0.19,0.1,0
2013-01-29,48,34,0.03,0,0
2013-01-30,52,41,0.03,0,0
2013-01-31,56,30,0.45, T,0
2013-02-01,33,24, T, T,0
2013-02-02,31,20,0.02,0.3,0
2013-02-03,32,22,0.03,0.5,1
2013-02-04,32,24,0,0,0
2013-02-05,32,28,0.01,0.2, T
2013-02-06,41,29, T, T,0
2013-02-07,33,23,0,0,0
2013-02-08,36,27,0.78,2.9, T
2013-02-09,32,21,0.18,3.5,6
2013-02-10,34,17,0,0,5
2013-02-11,45,34,0.46,0,4
2013-02-12,47,37,0,0,2
2013-02-13,43,28,0.01, T,0
2013-02-14,45,32, T, T,0
2013-02-15,49,32, T,0,0
2013-02-16,45,31, T, T,0
2013-02-17,34,18,0,0,0
2013-02-18,36,18,0,0,0
2013-02-19,45,31,0.13,0,0
2013-02-20,39,26,0,0,0
2013-02-21,37,24,0,0,0
2013-02-22,38,26, T, T,0
2013-02-23,44,36,0.38,0,0
2013-02-24,49,34,0.03,0,0
2013-02-25,46,31,0,0,0
2013-02-26,44,31,0.1,0,0
2013-02-27,49,38,0.6,0,0
2013-02-28,51,40, T,0,0
2013-03-01,47,36,0,0,0
2013-03-02,41,32, T, T,0
2013-03-03,42,29, T, T,0
2013-03-04,44,27,0,0,0
2013-03-05,48,31,0,0,0
2013-03-06,45,35, T, T,0
2013-03-07,39,33,0.07, T,0
2013-03-08,40,31,0.27,3,1
2013-03-09,55,34,0,0,1
2013-03-10,43,31,0,0,0
2013-03-11,52,39,0,0,0
2013-03-12,53,43,0.66,0,0
2013-03-13,53,38,0,0,0
2013-03-14,42,30,0,0,0
2013-03-15,48,30,0,0,0
2013-03-16,41,33,0.02, T,0
2013-03-17,39,30,0,0,0
2013-03-18,36,26,0.47,1.4,0
2013-03-19,45,35,0.46,0, T
2013-03-20,47,32,0,0,0
2013-03-21,39,31, T, T,0
2013-03-22,44,29,0,0,0
2013-03-23,48,32,0,0,0
2013-03-24,47,32,0,0,0
2013-03-25,40,34,0.25, T,0
2013-03-26,53,36, T,0,0
2013-03-27,54,35,0,0,0
2013-03-28,53,37, T,0,0
2013-03-29,56,41,0,0,0
2013-03-30,58,39,0,0,0
2013-03-31,52,35,0.12,0,0
2013-04-01,63,37, T,0,0
2013-04-02,45,33,0,0,0
2013-04-03,48,33,0,0,0
2013-04-04,45,32,0,0,0
2013-04-05,64,40, T,0,0
2013-04-06,49,36,0,0,0
2013-04-07,52,37, T,0,0
2013-04-08,68,42,0,0,0
2013-04-09,83,47,0,0,0
2013-04-10,71,53,0.59,0,0
2013-04-11,60,47,0,0,0
2013-04-12,48,41,0.87,0,0
2013-04-13,58,39,0.01,0,0
2013-04-14,59,45, T,0,0
2013-04-15,53,43,0,0,0
2013-04-16,58,45, T,0,0
2013-04-17,70,47,0.01,0,0
2013-04-18,57,45, T,0,0
2013-04-19,65,50,0.07,0,0
2013-04-20,59,45,0.18,0,0
2013-04-21,54,37,0,0,0
2013-04-22,53,37,0,0,0
2013-04-23,52,42, T,0,0
2013-04-24,58,42,0,0,0
2013-04-25,64,46, T,0,0
2013-04-26,65,43,0,0,0
2013-04-27,66,46,0,0,0
2013-04-28,63,45,0,0,0
2013-04-29,55,50,0.05,0,0
2013-04-30,63,46,0,0,0
2013-05-01,65,43,0,0,0
2013-05-02,63,44,0,0,0
2013-05-03,61,47,0,0,0
2013-05-04,64,45,0,0,0
2013-05-05,57,44,0,0,0
2013-05-06,62,45,0,0,0
2013-05-07,72,48, T,0,0
2013-05-08,64,55,1.54,0,0
2013-05-09,70,55,0.75,0,0
2013-05-10,76,54, T,0,0
2013-05-11,65,59,0.39,0,0
2013-05-12,70,51,0.02,0,0
2013-05-13,58,46,0,0,0
2013-05-14,60,43,0,0,0
2013-05-15,62,48,0.03,0,0
2013-05-16,74,56, T,0,0
2013-05-17,73,55,0,0,0
2013-05-18,63,54,0.01,0,0
2013-05-19,58,55,0.45,0,0
2013-05-20,72,57, T,0,0
2013-05-21,77,60,0,0,0
2013-05-22,72,58, T,0,0
2013-05-23,71,61,0.03,0,0
2013-05-24,69,46,0.2,0,0
2013-05-25,57,45,0.07,0,0
2013-05-26,68,48,0,0,0
2013-05-27,70,48,0,0,0
2013-05-28,68,53,0.54,0,0
2013-05-29,75,56,0,0,0
2013-05-30,86,63,0,0,0
2013-05-31,84,65,0,0,0
2013-06-01,79,64,0,0,0
2013-06-02,74,63,0.01,0,0
2013-06-03,76,62,0.37,0,0
2013-06-04,76,59,0,0,0
2013-06-05,71,57,0,0,0
2013-06-06,71,58,0.03,0,0
2013-06-07,64,60,4.01,0,0
2013-06-08,76,57,0.38,0,0
2013-06-09,78,64,0,0,0
2013-06-10,69,63,1.38,0,0
2013-06-11,81,65,0.02,0,0
2013-06-12,78,61,0,0,0
2013-06-13,66,56,0.99,0,0
2013-06-14,72,54,0.15,0,0
2013-06-15,82,62,0,0,0
2013-06-16,80,62, T,0,0
2013-06-17,82,67,0.13,0,0
2013-06-18,78,65,0.2,0,0
2013-06-19,77,60, T,0,0
2013-06-20,74,59,0,0,0
2013-06-21,76,59,0,0,0
2013-06-22,77,61,0,0,0
2013-06-23,80,65,0.03,0,0
2013-06-24,90,70, T,0,0
2013-06-25,91,70, T,0,0
2013-06-26,85,71,0.1,0,0
2013-06-27,84,71,0.13,0,0
2013-06-28,82,71, T,0,0
2013-06-29,80,69, T,0,0
2013-06-30,81,69,0.02,0,0
2013-07-01,78,71,0.98,0,0
2013-07-02,79,71,0.25,0,0
2013-07-03,81,70,0.09,0,0
2013-07-04,84,72,0,0,0
2013-07-05,87,73,0,0,0
2013-07-06,93,75,0,0,0
2013-07-07,88,78,0,0,0
2013-07-08,87,74,0,0,0
2013-07-09,87,73, T,0,0
2013-07-10,85,72,0.06,0,0
2013-07-11,88,73, T,0,0
2013-07-12,79,70,0.27,0,0
2013-07-13,85,71,0,0,0
2013-07-14,89,73,0,0,0
2013-07-15,97,77,0,0,0
2013-07-16,96,78,0,0,0
2013-07-17,95,79,0,0,0
2013-07-18,100,77,0,0,0
2013-07-19,95,80,0,0,0
2013-07-20,96,77,0.02,0,0
2013-07-21,88,75,0,0,0
2013-07-22,86,74,0.09,0,0
2013-07-23,87,73,0.4,0,0
2013-07-24,88,70,0,0,0
2013-07-25,70,63,0.03,0,0
2013-07-26,84,64,0,0,0
2013-07-27,81,68,0,0,0
2013-07-28,78,68,0.07,0,0
2013-07-29,84,71, T,0,0
2013-07-30,85,67,0,0,0
2013-07-31,82,68,0,0,0
2013-08-01,77,68,0.65,0,0
2013-08-02,85,68,0,0,0
2013-08-03,78,70, T,0,0
2013-08-04,83,67,0,0,0
2013-08-05,80,64,0,0,0
2013-08-06,80,64,0,0,0
2013-08-07,80,70, T,0,0
2013-08-08,81,70,0.72,0,0
2013-08-09,82,74,0.01,0,0
2013-08-10,85,71,0,0,0
2013-08-11,81,66,0,0,0
2013-08-12,80,69,0.48,0,0
2013-08-13,76,69,0.74,0,0
2013-08-14,77,61,0,0,0
2013-08-15,77,60,0,0,0
2013-08-16,79,63,0,0,0
2013-08-17,81,62,0,0,0
2013-08-18,78,66, T,0,0
2013-08-19,78,65, T,0,0
2013-08-20,85,68,0,0,0
2013-08-21,88,69,0,0,0
2013-08-22,80,72,0.08,0,0
2013-08-23,84,69,0,0,0
2013-08-24,79,64,0,0,0
2013-08-25,81,63,0,0,0
2013-08-26,84,68,0.02,0,0
2013-08-27,88,72,0.03,0,0
2013-08-28,85,69, T,0,0
2013-08-29,82,70, T,0,0
2013-08-30,83,69,0,0,0
2013-08-31,83,72,0,0,0
2013-09-01,84,73,0.02,0,0
2013-09-02,82,72, T,0,0
2013-09-03,85,69,0.01,0,0
2013-09-04,82,66,0,0,0
2013-09-05,82,64,0,0,0
2013-09-06,72,56,0,0,0
2013-09-07,78,58,0,0,0
2013-09-08,87,62, T,0,0
2013-09-09,72,54,0,0,0
2013-09-10,81,70, T,0,0
2013-09-11,88,72,0,0,0
2013-09-12,82,70,0.29,0,0
2013-09-13,80,59,0.09,0,0
2013-09-14,70,55,0,0,0
2013-09-15,72,51,0,0,0
2013-09-16,75,57,0.02,0,0
2013-09-17,66,49,0,0,0
2013-09-18,70,50,0,0,0
2013-09-19,75,54,0,0,0
2013-09-20,76,56,0,0,0
2013-09-21,75,57,0.33,0,0
2013-09-22,72,55,1.16,0,0
2013-09-23,68,50,0,0,0
2013-09-24,75,48,0,0,0
2013-09-25,72,51,0,0,0
2013-09-26,70,54,0,0,0
2013-09-27,69,52,0,0,0
2013-09-28,74,56,0,0,0
2013-09-29,72,54,0,0,0
2013-09-30,72,52,0,0,0
2013-10-01,81,58,0,0,0
2013-10-02,85,60,0,0,0
2013-10-03,77,60,0,0,0
